First_name,Middle_name,Last_name,Suffix,Job_title,Confirmed,Year_started,Year_ended,Administration_appointee,Party_affiliation,Employer,FTC_seat,Education,Education_law,Education_LLB,Education_JD,Education_econ,Education_Phd,Education_other,Previous_position,Type_of_previous_position ,Generalized_previous_experience,Prev_exp_pol,Prev_exp_civil,Prev_exp_elect,Prev_exp_law_firm,Prev_exp_private_practice,Prev_exp_industry,Prev_exp_academia,Prev_exp_unclear,Following_position,Type_of_following_position,Generalized_following_experience,Follow_exp_pol,Follow_exp_civil,Follow_exp_elect,Follow_exp_law_firm,Follow_exp_private_practice,Follow_exp_academia,Follow_exp_industry,Follow_exp_unclear,Follow_exp_died_or_retired,Following_law_firms,Birth_year,Appointment_age,Appointment_age_rounded,Source,Source2,Source3,Notes
Ewin,L.,Davis,,Chair(x3)/commissioner,,1933,1949,,D,FTC,2,Law,1,,,,,,"Member of House (TN); previously: director Traders National Bank of Tullahoma, judge of the seventh judicial circuit of TN, Chairman of the district exemption board",Government,Electoral,,,1,,,,,,Died,Died,Died,,,,,,,,,1,,1876,57,60,Wiki,House bios,,Seems like a landing spot after losing an election?
William,A.,Ayers,,Chair (x3)/commissioner,,1934,1952,,D,FTC,3,Law,1,,,,,,"Member of House (KS); previously: municipal prosecuting attorney, clerk for Court of Appeals of Kansas, private practice",Government,Electoral,,,1,,,,,,Died,Died,Died,,,,,,,,,1,,1867,67,70,Wiki,Congress bio,,
Will,H.,Parry,,Commissioner,,1915,1917,,Progressive,FTC,2,Undergrad,,,,,,1,"Manager of Alaska-Yukon Exposition of Seattle; previously: shipping executive, Seattle Alderman/comptroller, journalist",Industry,Industry,,,,,,1,,,Died,Died,Died,,,,,,,,,1,,1864,51,50,NYT obit,,,
Charles,W.,Hunt,,Chair(x2)/commissioner,,1924,1932,,R,FTC,2,Undergrad,,,,,,1,"Secretary of Iowa Farm Bureau Federation; previously: other farm bureau positions, member of Iowa state legislature, teacher/farmer",Industry,Industry,,,,,,1,,,Died,Died,Died,,,,,,,,,1,,1864,60,60,Wiki,Iowa leg,NYT obit,"Difficult renomination process: Sen King (UT) asserted ""that Hunt was a reactionary and was not enforcing the law"""
Edgar,A.,Mcculloch,,Chair/commissioner,,1927,1933,,D,FTC,3,Law,1,,,,,,"Chief Justice of AR Supreme Court; previously: Associate Justice of AR Supreme Court, private practice",Government,Political,1,,,,,,,,Died,Died,Died,,,,,,,,,1,,1861,66,70,Wiki,NYT obit,,
Charles,H.,March,,Chair/commissioner,,1929,1945,,R,FTC,5,Law,1,,,,,,"President of the Minnesota Farmers and Bankers Council; previously: member of MN state commission on Public Safety, mayor, MN state Republican operative, law practice (March Brothers)",Industry,Political,1,,,,,,,,Died,Died,Died,,,,,,,,,1,,1870,59,60,Wiki,NYT obit,,NYT obit: swung MN delegation for Coolidge preceding appointment
John,Franklin,Fort,,Chair/commissioner,,1917,1919,,R,FTC,1,LLB,1,1,,,,,"US Special Envoy to Santo Domingo/Haiti/Dominican Republic; previously: governor of NJ, state judge (State Supreme Court, District Court in Newark)",Government,"Political, electoral",1,,1,,,,,,Died,Died,Died,,,,,,,,,1,,1852,65,70,Wiki,"See ""Documents"" folder",,
William,E.,Humphrey,,Chair(x2)/commissioner,,1925,1933,,R,FTC,1,Law,1,,,,,,"Law practice; previously: member of House representing WA, ran for Senate unsuccessfully ",Private practice,"Private practice, electoral",,,1,,1,,,,Died,Died,Died,,,,,,,,,1,,1862,63,60,Congress bio,Wiki,,"Successfully sued FDR for termination that violated presidential powers, died before resolution"
Robert,T.,Secrest,,Commissioner,,1954,1961,,D,FTC,3,Law,1,,,,,,"Member of House (OH); previously: legal supervisor of Library of Congress, member of House (OH), local superintendent",Government,Electoral,,,1,,,,,,"OH Director of Commerce, member of House (OH), member of OH state senate",Government,Electoral,,,1,,,,,,,,1904,50,50,Wiki,,,
William,J.,Harris,,Chair/commissioner,,1915,1918,,D,FTC,3,Undergrad,,,,,,1,"Director of US Census Bureau; previously: state senator (GA), secretary of Sen Clay, insurance business, banking",Government,Political,1,,,,,,,,"Senator of Georgia, died",Government,Electoral,,,1,,,,,,,,1868,47,50,Wiki,Congress bio,,
